Product_Name,Material,Category,Region,Size(cm),Weight(g),Description_Keywords,Price(INR),Image_URL
Madhubani Painting,Marble,Footwear,Delhi,95x10x10,3531,"handcrafted, eco-friendly, cultural",2689,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Madhubani+Painting
Block Print Bedsheet,Clay,Jewellery,Kashmir,54x100x10,650,"lacquered, cultural, classic finish",8424,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Block+Print+Bedsheet
Cane Chair Miniature,Cane,Accessories,Chhattisgarh,100x71x15,1279,"unique design, boho style, sustainable",1239,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Cane+Chair+Miniature
Lippan Art Frame,Cotton,Bags,Tamil Nadu,47x12x33,3887,"hand-painted, handcrafted, vibrant",3748,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Lippan+Art+Frame
Kalamkari Saree,Wood,Wall Art,Madhya Pradesh,27x75x10,3686,"boho style, hand-painted, unique design",1441,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Kalamkari+Saree
Handwoven Basket,Stone,Wall Art,Assam,43x21x8,669,"sustainable, unique design, embroidery",8129,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handwoven+Basket
Phulkari Dupatta,Jute,Accessories,Goa,39x19x28,3861,"handcrafted, sustainable, natural dyes",13305,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Phulkari+Dupatta
Wooden Spice Box,Stone,Spiritual Item,Karnataka,77x62x11,2884,"hand-painted, lacquered, durable",2369,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Wooden+Spice+Box
Paper Mache Box,Wool,Furniture Miniature,Delhi,49x58x11,1926,"hand-painted, woven, lacquered",12362,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Paper+Mache+Box
Cane Chair Miniature,Organic Cotton,Accessories,Gujarat,93x49x50,2649,"artisan made, classic finish, boho style",6867,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Cane+Chair+Miniature
Jute Table Mat,Cotton Rope,Kitchenware,Kashmir,18x11x18,1383,"classic finish, woven, sustainable",9265,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Jute+Table+Mat
Hand-painted Kettle,Organic Cotton,Kids Toy,Goa,88x41x18,1808,"woven, boho style, heritage craft",10018,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Hand-painted+Kettle
Channapatna Toy,Organic Cotton,Wall Art,Bihar,40x14x14,304,"lacquered, woven, durable",1572,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Channapatna+Toy
Handcrafted Wind Chime,Bamboo,Jewellery,Tamil Nadu,43x45x60,4916,"premium, tribal, boho style",9235,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handcrafted+Wind+Chime
Kalamkari Saree,Copper,Kids Toy,Haryana,61x51x21,2255,"unique design, lacquered, embroidery",12834,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Kalamkari+Saree
Banarasi Silk Saree,Silk,Home Decor,Maharashtra,84x12x45,3645,"tribal, woven, embroidery",13804,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Banarasi+Silk+Saree
Wooden Keychain,Bamboo,Jewellery,Delhi,36x60x24,122,"sustainable, minimal design, handcrafted",7194,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Wooden+Keychain
